journal_name,category,if_2023,if_2022,涨跌分值
TRENDS IN BIOTECHNOLOGY,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE(Q1),17.3,21.94,-4.642
Annual Review of Public Health,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q1)",20.8,21.87,-1.07
Carbon Energy,"CHEMISTRY, PHYSICAL - SCIE(Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1); ENERGY & FUELS - SCIE(Q1)",20.5,21.56,-1.056
Nature Geoscience,"GEOSCIENCES, MULTIDISCIPLINARY - SCIE(Q1)",18.3,21.53,-3.231
BEHAVIORAL AND BRAIN SCIENCES,"NEUROSCIENCES - SCIE(Q1); BEHAVIORAL SCIENCES - SCIE(Q1); PSYCHOLOGY, BIOLOGICAL - SSCI(Q1)",29.3,21.36,7.943
Eurosurveillance,INFECTIOUS DISEASES - SCIE(Q1),19,21.29,-2.286
TRENDS IN CELL BIOLOGY,CELL BIOLOGY - SCIE(Q1),19,21.17,-2.167
CLINICAL INFECTIOUS DISEASES,IMMUNOLOGY - SCIE(Q1); INFECTIOUS DISEASES - SCIE(Q1); MICROBIOLOGY - SCIE(Q1),11.8,21,-9.199
Energy Storage Materials,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); CHEMISTRY, PHYSICAL - SCIE(Q1); NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1)",20.4,20.83,-0.431
JOURNAL OF MEDICAL VIROLOGY,VIROLOGY - SCIE(Q1),12.7,20.69,-7.993
TRENDS IN ECOLOGY & EVOLUTION,EVOLUTIONARY BIOLOGY - SCIE(Q1); GENETICS & HEREDITY - SCIE(Q1); ECOLOGY - SCIE(Q1),16.8,20.59,-3.789
Science Bulletin,MULTIDISCIPLINARY SCIENCES - SCIE(Q1),18.9,20.58,-1.677
